PUB_ID_C,SKU,ISBN,TITLE,CUSTOMER_NAME,A_STATUS,BOOKTYPEID,CARTON_QTY,WEIGHT,BOOKGROUP,BOOKTYPEDESC,US_INGRAM_GAP_LIST_PRICE
6010036,1481421646,9.78148E+12,Monster Bash,Simon & Schuster,production,320,80,0.184,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481425862,9.78148E+12,JANUARY,Simon & Schuster,production,320,46,0.306,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481425870,9.78148E+12,FEBRUARY,Simon & Schuster,production,320,46,0.306,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481425889,9.78148E+12,MARCH,Simon & Schuster,production,320,46,0.302,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481425897,9.78148E+12,APRIL,Simon & Schuster,production,320,46,0.306,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481425900,9.78148E+12,MAY,Simon & Schuster,production,320,46,0.306,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481425919,9.78148E+12,JUNE,Simon & Schuster,production,320,46,0.306,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481425927,9.78148E+12,JULY,Simon & Schuster,production,320,46,0.302,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481425935,9.78148E+12,AUGUST,Simon & Schuster,production,320,46,0.302,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481425943,9.78148E+12,SEPTEMBER,Simon & Schuster,production,320,46,0.306,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481425951,9.78148E+12,OCTOBER,Simon & Schuster,production,320,46,0.306,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,148142596X,9.78148E+12,NOVEMBER,Simon & Schuster,production,320,46,0.306,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481425978,9.78148E+12,DECEMBER,Simon & Schuster,production,320,46,0.302,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481427466,9.78148E+12,CUPIDITY,Simon & Schuster,production,320,22,0.58,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481427474,9.78148E+12,PROM CRASHERS,Simon & Schuster,production,320,26,0.519,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481431072,9.78148E+12,Best-Laid Plans of Jonah Twist,Simon & Schuster,production,320,50,0.276,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481432303,9.78148E+12,"Neverseen, Volume 4 (Reprint)",Simon & Schuster,production,320,8,1.34,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,9.99
6010036,1481444581,9.78148E+12,Little Painter of Sabrina Grande,Simon & Schuster,waitspecs,320,182,0.093,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481444611,9.78148E+12,Blood on His Hands,Simon & Schuster,production,320,34,0.397,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481444948,9.78148E+12,"Mates, Dates, and Mad Mistakes",Simon & Schuster,production,320,30,0.458,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481449923,9.78148E+12,Irena's Children: Young Readers Edition; A True Story of Courage (Reprint),Simon & Schuster,production,320,22,0.58,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,8.99
6010036,1481450255,9.78148E+12,"Lu, Volume 4 (Reprint)",Simon & Schuster,production,320,28,0.489,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,7.99
6010036,1481450999,9.78148E+12,Forging the Sword,Simon & Schuster,production,320,10,1.219,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1481474960,9.78148E+12,"Lodestar, Volume 5 (Reprint)",Simon & Schuster,production,320,8,1.371,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,9.99
6010036,1481477862,9.78148E+12,Spy School Goes South (Reprint),Simon & Schuster,production,320,18,0.698,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,8.99
6010036,1481488082,9.78148E+12,My Father the Werewolf,Simon & Schuster,production,320,28,0.485,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100246,9.7815E+12,Forever and Always,Simon & Schuster,production,320,18,0.698,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100254,9.7815E+12,Lightning Strikes,Simon & Schuster,production,320,16,0.762,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100262,9.7815E+12,Necking,Simon & Schuster,production,320,16,0.759,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100270,9.7815E+12,Shadow Fall,Simon & Schuster,production,320,16,0.759,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100289,9.7815E+12,Silver Sparks,Simon & Schuster,production,320,16,0.789,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100297,9.7815E+12,Cold Case Squad,Simon & Schuster,production,320,18,0.728,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100300,9.7815E+12,Endgame,Simon & Schuster,production,320,26,0.519,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100394,9.7815E+12,Sky Cops: Stories from America's Airborne Police,Simon & Schuster,production,320,20,0.641,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100408,9.7815E+12,Murder of Old Comrades,Simon & Schuster,production,320,24,0.549,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100416,9.7815E+12,Fire and Steel,Simon & Schuster,production,320,20,0.626,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100424,9.7815E+12,Battered to Death,Simon & Schuster,production,320,20,0.671,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100432,9.7815E+12,Darkest Edge of Dawn,Simon & Schuster,production,320,16,0.762,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100440,9.7815E+12,Diet to Die for,Simon & Schuster,production,320,18,0.698,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501100459,9.7815E+12,Earl of Darkness,Simon & Schuster,production,320,18,0.728,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
